LOC,LAT,LON
A-AbomA,,
A-apprendfe,,
A-C.lieong,-32.907198583,151.748006143
A-cbanti,,
A-celui,-6.138785955,106.832235873
A-chanty,16.700467338,74.233636603
A-Cheong,53.478606224,-3.026199523
A-dire,,
a-gard6,,
A-Ghcong,,
A-haut,53.323307005,-1.169578776
A-hou,39.44552599,-0.391656307
A-kaza,40.855979829,14.258926631
A-Koi,44.183938513,-69.820009382
A-lcode,,
A-lexandreavaientrappeléeàla,,
A-Madi,51.988909916,70.954489588
A-niouy,,
A-peine,52.308309574,10.231959476
A-razas,15.277045649,73.987395954
A-renc,56.813318809,24.599998987
A-Sanga,10.354617455,106.377479227
A-t-elle,44.407595666,0.706489246
A-t-il,31.240036127,34.788746359
A-t-on,52.374138732,4.881578757
A-trata,37.859677714,139.124934287
A-uavillaria,,
A.-.BIIOWN,,
A.BORDO,40.611939485,0.585557977
A.BrOnkhuis.,,
A.BROWN,52.57542837,-3.15391619
A.Burdo,40.611939485,0.585557977
A.ceteffet,,
A.cinq,47.482708287,-0.306307881
A.DEVELAY,,
A.dix,14.705276887,-17.459438248
A.DOLLO,51.760946645,14.346218885
A.envoyer.,,
A.Guilet,,
A.larriere.,,
A.lgri,,
A.Lothon,,
A.lprs,,
A.MERLE,52.191436945,8.350329948
A.Michelln,,
A.Monte-Carlo,50.787588519,3.127157441
A.Moscou,-10.423058278,-161.019167563
A.NIttoe,16.406188951,99.541388847
A.Paris,38.078758774,22.628768909
A.Pekinl,,
A.Pilgrim,-37.749857856,145.029427335
A.POUSSIFR,,
A.SINNOU,17.14759716,43.352696912
A.six,4.175158307,73.504057845
A.Somefleld,,
A.Thunu,,
A.Tuiwe,,
A'mblet,,
A1,32.7504081,-86.750256528
A11,42.397349551,1.840208642
Aa,55.216419514,9.978739946
Aa-cendado,,
AAa,21.319176983,-157.876277457
Aaae,21.319176983,-157.876277457
Aacan,7.650856881,-5.432936954
Aad,29.231297379,80.430927669
Aade,40.86836723,-87.444747401
Aadune,7.284697373,5.09509831
Aafohs,,
Aai-chan,37.424435837,120.768606189
Aaie,22.535347063,88.356906834
Aaieourl,,
Aairlqnt,,
Aait.,31.699877322,76.930868257
AaJiSMWi,,
Aala,29.545077034,80.403907567
Aalborg,57.047999984,9.918697274
Aale,7.365276223,-5.7344372
Aâler,42.112448333,0.426186619
Aalessund,62.472246147,6.154916264
Aanakttay,45.483328708,80.916668565
Aanam,23.755917752,90.375418716
Aansjn,58.799996015,15.433326918
Aant,23.755998745,90.416198597
Aar,50.369215645,8.006195986
Aara,51.10277655,13.904479584
Aarau,47.392536289,8.044217612
Aarmtihlo,,
Aaron,38.42306822,-94.153827551
Aarorcty,50.59025853,14.100869157
Aarstrom,,
Aas,42.980569797,-0.401235957
Aasinie,4.983327092,-1.91666998
Aasta,61.599998549,10.633328359
Aautruohes,,
Ab,52.28332779,-117.468999112
Ab-deram,36.867695741,30.637999687
Ab-Istada,32.487856398,67.929466522
AB-SIND,22.743939553,75.893345824
Aba,5.106575655,7.366667736
Aba-Dania,,
Aba-nanquem,,
Ababa,4.133325519,12.433326131
Abacca,18.53189932,120.757496675
Abacra,5.975408057,6.700677334
Abader,48.845169385,37.590148268
Abadia,-17.716668059,-43.099998959
Abadie,44.823039301,-0.575496493
Abai,-26.033329556,-55.933328157
Abailard,,
ABakel,32.54834903,70.26062866
Aballition,,
Aban,56.678699754,96.065798264
Abandoiine,14.822576978,-61.123248615
Abandoning,,
Abandonne,14.822576978,-61.123248615
Abandonnés,14.822576978,-61.123248615
Abandonnez-moil,,
Abandonnons-les,,
AbAne,30.791079467,-7.771689918
Abaneck,,
AbAnisterie,,
Abarmbos,,
Abarn,6.972366589,80.768055753
Abartiague,,
Abasourdi,54.520695751,18.541646592
Abat,4.947856739,7.679219001
Abate,25.786857531,-108.980799337
Abaudonné,14.822576978,-61.123248615
Abautíaquk,,
Abb,20.498566803,58.165076493
Abba,31.756846767,-83.370439946
Abba-alie,29.09999903,58.316668041
AbbadeJis,,
Abbadie,50.416735928,-66.965287204
Abbala,30.777778647,73.769439795
AbbarDjiffar,,
Abbas-Pacha,28.560028945,33.91751567
Abbassides,28.148846433,-15.427688541
Abbassieh,,
AbbaY,34.964747104,-89.847237209
Abbaye,46.826549513,-0.137797834
Abbécourt,49.35875831,2.156467578
Abbeville,50.099995535,1.833328753
Abbme-Kalayi.tC',,
Abbotsforth,,
Abd,39.759998584,-98.499996381
Abd-Allatif,,
Abd-cl,-44.716666136,-73.766667664
Abd-el-,31.266835749,29.999326362
Abd-el-Aziz,30.112089719,31.304156574
Abd-El-Bahari-ben-si-Ali,,
Abd-el-Chakour,,
Abd-el-Din-Pacha,,
Abd-el-Kader,32.220377634,-9.054526082
Abd-el-Kader-Pacha,,
Abd-el-Kaderfe,,
Abd-el-Kerin,36.373689078,3.035599566
Abd-el-Malek,30.022385679,31.184008236
Abd-en-nebbi,,
Abd-er-Rahman,36.56659596,3.418448093
Abd-er-Rhaman,,
Abd-erllhaman,,
Abd-es-Samate,31.129899401,30.64416864
Abd.uiai,,
Abdal,39.131908319,43.270268727
Abdala,-12.307216582,40.12027825
Abdaliah,16.236697992,-13.976207343
Ábdálian,,
Abdallah,16.236697992,-13.976207343
Abdallah-ben-Djemel,36.794437742,8.482217744
Abdallah-ben-Gasym,,
Abdallah-Ben-Saïd,23.548126191,57.539168535
Abdallah-el,30.299997544,-8.979999196
Abdallah-el-Yamina,,
Abdallatì,,
Abdel-Asis,30.112089719,31.304156574
Abdel-Kader-Ben-Derkich,,
Abdéramé,,
Abdhlayej,,
AbdJouiE-Boubakar,,
Abdlard,,
Abdoiil-Boubakar,,
Abdol-Wahab,30.057797537,31.354988563
Abdoul,10.779897217,17.405596403
Abdoul-Ben-Bakar,,
Abdoul-Bou,,
Abdoul-Boubakar,,
Abdoul-Kader-Pacha,,
Abdoul-Rasoul,30.580138185,66.643435642
Abdoul-Rhaman,24.677777948,67.748888546
Abdoulal,,
Abdoulaye-Ba,,
Abduiaye,38.316666162,68.566668478
Abdul,-24.468885881,33.151935606
Abdul-Boukabar,,
Abdul-Kaïm,25.343097909,62.427336769
Abdul-vaal-Effendi,,
Abdulah,5.267157405,30.679589497
Abdulaye,5.916449789,-4.120619407
Abdulkadrr,41.857509955,32.890157836
Abdullah,5.267157405,30.679589497
AbdullahrOnar,,
Abduloabd,,
Abé-iard,,
Abé-lard,,
Abéca,55.632515591,12.6500494
Abeché,13.829159632,20.832397816
Abedi,3.14433578,29.472936073
Abei-Dullah,,
Abeiiard,,
Abeille,18.564165957,-73.84638709
Abekee,42.35791955,69.423266465
Âbelmoschm,,
Abengos,2.877986415,21.031617637
Abengourou,6.729716621,-3.496389799
Abéoiouta,8.03705761,1.67975738
Abeokouta,8.03705761,1.67975738
Aberdeen,45.464695861,-98.486479581
Aberoorn,-8.840238234,31.365868598
Aberrch,52.903039798,-4.385128435
Abescher,13.829159632,20.832397816
Abespher,,
Abeucbe,,
Abeuche,50.703886947,4.360439502
Abeuchene,5.849999685,-0.733328988
Abeuehe,,
ABgeHe,,
Abh,-23.646097894,146.583998886
Abhasie,31.198828784,29.93308774
Abicline,,
Abicon,5.309656134,-4.012655987
Abiddin,38.421029901,27.135658978
AbiDizjusquDizfoul,,
Abidjan,5.309656134,-4.012655987
Abidjean,5.309656134,-4.012655987
Abieme,32.44873687,-99.733138955
AbiemiS,47.912415656,-79.248076756
Àbîerrhaman,,
Abies,-27.191589774,25.327966888
Abiété,2.916669483,10.499996191
Abigafl,,
Abigail,38.576738584,-83.982147165
Abigall,38.576738584,-83.982147165
AbigaXl,,
AbigaYl,38.576738584,-83.982147165
Abinakis,,
Abiras,52.492226253,13.394589331
Abisçua,4.395049294,6.767316421
Abissas,4.395049294,6.767316421
Abistadeh,,
Abl,41.901786026,-87.988506149
Abla,37.14244586,-2.778078041
Ablras,47.573037772,9.864499584
Abo,60.451479966,22.268688362
Abo-Biorneborg,,
Abo-lljornborg,,
Abobkuta,,
Aboiiie,,
ABOimsiiERTS,,
Aboine,6.4166659,7.833325826
Aboire,-34.888926229,-56.182628535
Aboisso,5.467785602,-3.20710597
Abolsso,57.549997937,25.499995623
Abomas,7.070088917,-0.585049146
Abome,7.18285791,1.991188245
Abome-Kalavi,6.448518574,2.355655902
Abomé-Kalavy,,
Abomel,51.916088378,4.468636901
Abomereunis,,
Abomey,7.18285791,1.991188245
Abomey-Kalavy,,
Abomft-Kalavi,,
Abomi,18.449997588,-72.583326672
Abomiey,7.18285791,1.991188245
Abond.ince,,
Abondance,46.280306986,6.720259597
Abonieh,,
ABONlfBMINTS,,
ABONNBMSHTSiDNAN,,
Abonnefin,,
Abonnements,,
Abookuta,,
Abord,19.683329145,-72.249996251
Abordage,46.513705774,6.570787361
Abords,19.683329145,-72.249996251
Aborigine,-28.041496855,-48.623857284
Aborney,,
Aboû,3.616667866,10.116666207
Abou-Abdallah-Mohammed-al-Mabadi,,
Abou-Azba,29.979567479,30.946667797
Abou-Ba,15.955828415,-16.289996522
Abou-Bakar,63.241367397,29.253796519
Abou-Bekr,44.441689141,26.081006565
Abou-ben-Azar,,
Aboû-ben-Azhar,,
Abou-Chodjâ,,
Abou-Girgele,,
Aboû-Hamëd,33.532816671,35.362368957
Abou-Harras,30.852818488,32.304638293
Abou-Kamphor,,
Abou-Klea,17.049996321,33.249999904
Abou-Mouri,31.197316918,29.890278539
Abou-Saood,30.714806735,31.257446219
Abou-Zeyd-Hassan,,
Abou-Zeyd-IIassan,,
Abouam,5.601315753,-3.590116482
Aboubakre,51.916448346,4.448748666
Aboukìea,13.818176106,15.499277565
Aboukir,18.253779,-77.359166874
Abouliaknr,,
Abouna,0.249999117,9.616666076
Abounami,4.399998855,-54.433327764
About,2.899998462,11.216665595
Aboutchi,,
Aboutchiqui,,
Abouxa,46.494757956,1.444855725
Abpme.inaihtehrit,,
Abra,34.901959676,-112.446837268
Abrah,29.060955994,67.646666617
Abraham,39.396619829,-112.718005706
Àbrahåm-iincoln,,
Abraham-Louis,,
Abrahmn-Lincoln,,
Abramoff,-34.601199261,-58.454737913
AbranlAe,-22.178539622,-49.967168081
Abrantes,39.466669613,-8.199997911
Abrège,32.054355866,34.751687647
Abrégez,,
Abreha,5.883859181,-1.975448265
Abrevzac,,
Abrezan,,
Abri,11.675898207,30.450798299
Abris,50.392649565,30.476877985
AbrKrak,,
Abroath,56.563168006,-2.587357965
Abroham,39.396619829,-112.718005706
Abron,28.421378249,77.306917887
Abruzzes,-34.906339684,-57.954656789
Absa-Ion,,
Absalon,14.683327834,-61.099999178
Absecom,39.428445505,-74.495706471
Absence,,
Absolument,47.086599437,2.394968914
Abt,42.077778909,-87.862346344
Abu-Kereiii,,
Abu-Kerem,,
Abuklea,17.049996321,33.249999904
Abulchi-,,
Abun,-9.383605517,124.676666896
Abusez,37.484995963,67.424435837
Abvssmie,,
Aby,5.305017046,-3.169156337
AbyBBinio,,
Abydos,26.189549297,31.908088482
Abyla,35.897667319,-5.412216293
Abypsinie,7.999998899,37.999998899
Abys,-10.911435941,-37.049205894
Abysaina,7.999998899,37.999998899
Abysainio,16.862079497,-16.144258954
Abyseinie,7.999998899,37.999998899
Abysiin,,
Abysinie,7.999998899,37.999998899
Abyssi-,45.625439597,-1.029375717
Abyssiiiio,,
Abyssime.et,7.999998899,37.999998899
Abyssinie,7.999998899,37.999998899
AbysSiniefts,,
Abyssiniennes,,
Abyssinou,,
Abyssiriie,,
Abyssiriiesans,,
Abysslnes,,
Abysslnie,,
Abyssmie,7.999998899,37.999998899
Abyssnie,7.999998899,37.999998899
Abyssuiie,7.999998899,37.999998899
Abyssynais,45.379477923,36.468798275
Abysvnie,7.999998899,37.999998899
Ac,-8.999996558,-69.999997911
Ac-tium,44.861857356,13.834069832
Aca-,-36.367238547,-56.716416167
Acabli,6.466669963,-9.533328594
Acacias,3.986949008,-73.757969936
Acad,-3.732376995,-38.51288551
Academie,41.170879885,-85.145797905
Acaderaie,,
Acadie,46.078639381,-1.094426445
Acadlmie,,
Acadmie,41.170879885,-85.145797905
AcadSmie,41.170879885,-85.145797905
Acadtnie,,
Acalèphe,,
Acalpuco,36.166846933,-94.112917182
Acangatare,,
Acanthure,,
Acaponète,,
Acapulco,16.863357383,-99.890098527
Acar,41.066669133,31.166666775
Acara,-1.960825699,-48.196669692
Acarouany,5.59221756,-53.812256876
Acart,51.107127664,17.020178604
Acarta,42.64595699,-2.259238082
Acassa,5.671577018,-4.237298553
Acba,23.369937503,89.418448135
Acbaguas,-6.218779857,106.795249155
Acbappa,,
Acbouça,,
Accadi,43.774137378,11.263915902
Accbutumees,,
Accds,52.039399936,47.781298428
Accepleza,,
Accepte,13.903974493,100.52853825
Acceptes-tu,,
Acceptez-la,,
Acces,50.5297389,2.639139747
AcceurA,13.033108271,80.262818087
Accidenta,36.22784802,-94.101587187
Acclamg,,
Acclimata,-34.581697992,-58.460546897
Acclimatatiori,,
Accompagne,36.812778114,10.302409724
Accompagnons-les,,
Accompli,-37.903469725,145.03692817
Accordé,42.174547322,-70.883656497
Accordeiecouteau,,
Accoste,-9.394755528,-40.49242635
Accoude,,
Accourez,37.740577783,-25.672815911
Accra,5.556018272,-0.19689559
Accroupi,49.61682841,-73.949126473
Accueil,33.901189982,35.57362971
Accueildes,,
Accueille,-1.94829881,30.127047528
AcculeG,,
Accusatio,45.066206722,7.692285841
Accusations,,
Ace,30.536316574,-94.824367049
Aceci,35.299998855,137.383327834
Acehillée,39.711947348,-100.836256567
Acelle,52.648888851,58.076105888
Acem,-7.114879839,112.948066167
Acemoment-iAencore,,
Acent,36.074276647,-115.11748978
Acequia,39.523598562,-105.028039597
Acesnoms,-29.853567056,-51.177799153
Aceuxde,,
Acfods,,
Ach,47.517778175,9.864999039
Acha,56.600699176,-6.590418742
Achagiias,7.779167495,-68.223726533
Achagnas,-1.216186776,9.028608759
Achaguas,7.779167495,-68.223726533
Achaie,6.766667342,0.366665901
Achan,27.859468112,-81.968418359
Achan-iy,,
AchangAes,-1.216186776,9.028608759
Achanti,5.229068285,-4.160395877
Achappe,1.8999982,11.349997764
Acharius,7.531999928,7.279199998
Achat,24.98156849,79.359698727
Achauffee,50.149959101,5.744728163
Achdve,,
Achecs.,58.299995884,-4.299995989
Achéloüs,38.333607159,21.101937397
Achem,36.546518741,2.019729212
Acherebié,,
Acheroh,,
Acheter,48.585218453,16.428809581
Achève,6.404588972,0.736128116
AchevelAe,6.856177899,4.857447399
Achevez,,
Achfcve,,
Achia,7.361897023,8.863099946
Achihuran,,
Achilk,43.702998691,7.311759108
Achille,18.283327878,-73.916666354
Áchira,,
Achiras,-33.175379286,-64.993305694
Achiron,5.949998811,-1.549997518
Achllle,18.283327878,-73.916666354
Acho,-12.951937371,-75.764719862
Achoguas,7.779167495,-68.223726533
Acholic,,
AchouA,5.997478598,-4.167158777
Achouea,5.997478598,-4.167158777
Achouka,-1.03347599,9.517647862
Achsguas,7.779167495,-68.223726533
AchSve,6.404588972,0.736128116
Acht,51.479996076,5.429166666
Achtaia,,
Achtala,41.151918568,44.76677743
Achunger,,
Acide,-17.595556806,37.190556727
Aciinha,,
Acitme,,
Ackermann,46.798238026,6.62815727
Acklouck,,
Ackombaka,,
Ackombakapossédait,,
AclairA,46.167367008,1.870085991
Aclat,17.426495912,78.457366798
AclatA,8.049998462,-81.133328463
AclatArent,,
Aclater,,
Aclesofficiols,,
Aclmnge,,
Acloque,,
Aclore,54.033325999,-8.899996295
Aclua-,-9.459167312,-77.524999658
Aclualitds,,
AclualiUSs,,
Aco,-8.533329469,-77.883329861
AcoeurA,-13.789169077,-75.368327537
Acoir,49.408937858,8.703908572
Acol-,51.357246969,1.317899491
Acolesfran,,
Acolin,46.81666839,3.383328709
Aconcagua,-32.653826067,-70.011408898
Acora,-13.789169077,-75.368327537
Acoran,-6.945096405,108.698598256
Acorbargues,,
AcorchAes,22.249995884,-102.483326409
Açores,37.740577783,-25.672815911
AcorkjargueiPolo,,
Acoste,-22.283326323,-65.016667621
Acosvatovski,,
AcoulAs,31.112305962,30.944417996
Acoute,52.272497251,4.969437961
Acoutille,,
Acqua,44.416666861,9.249998113
Acquarivenda,,
Acquaviva,43.945927634,12.418499947
Ácqûeduc,,
Acqueis,44.306957597,2.27037947
Acquiavlva,40.21666756,15.116667517
Acquit-vlvn,,
Acquuvtva,,
Acra,5.556018272,-0.19689559
Acranrftes,,
Acre,-8.999996558,-69.999997911
Acres,40.265857195,-74.680518571
Acria,31.879069421,-4.916306299
Acriai-Je,,
Acridìum,,
Acrie,51.142368537,1.141699626
Acrire,28.929837629,-10.000517637
Acris,45.649998418,25.983329233
Acrit,36.277469616,37.010118239
Acrites,-3.739319879,-38.523387578
Acrla,-9.459167312,-77.524999658
Acrostiche,47.323309932,5.043888354
AcroulA,39.15624666,20.998469079
Acta,33.626606348,-86.604707944
Actaòn,51.509009502,-0.276196553
Actelsberg,,
Acteon,40.418816622,-3.702799983
Actes,41.020876696,28.932759007
Actinies,45.287465588,10.475356377
Actionne,-23.393247331,-51.928287556
Active,32.867897174,-86.976937413
Acton-Homes,-28.641217138,29.406458972
Actrices,25.610009724,85.139629329
Actrlces,,
Actua,47.587319504,1.334156548
ActuaHtés,,
ActuaIités,,
Actual,27.493997043,-109.948766942
ActualiteB,,
Actualités,36.814118995,10.181527951
Actualities,,
Actualitite,,
Actuality,41.320068647,2.017929372
Actuates,1.294986387,103.859417174
Actuellement,,
Acturilfc,,
ActuuliU',,
Acu,-5.576668837,-36.90860687
Acua,-14.135557339,40.094716018
Acul,15.404996295,-91.188329703
Acume,5.482305814,6.140589535
Acunha,57.849999816,139.816666905
Acunhu,7.626316059,5.940186319
Ad,-5.416667535,133.066667385
Ada,34.774526484,-96.678337532
Ada-Kaleh,44.71666874,22.449999773
Ada-Kaleii,37.510238723,33.077606702
Ada-Kelah,,
Adagli,7.066669221,0.699996322
Adah,39.896457975,-79.921999953
Adalbert,50.083607989,14.356707455
Adaln,47.016666643,23.449995536
Adam,29.491356301,-82.506219635
Adama,8.549998593,39.266667998
Adamana,34.976689045,-109.822337161
Adamaoiïa,6.499998506,13.499996977
Adamaoua,6.499998506,13.499996977
Adamaouaàla,,
Adamaria,37.599888768,-0.806816466
Adamas,36.733328664,24.433329277
Adamawa,9.333329582,12.499996715
Adamkyrylgan,,
Adamn,-34.56537794,-58.452749089
Adamo,5.534118716,-4.07392705
Adamopoulo,38.431806445,22.421908766
Adams,42.624246417,-73.117595762
Àdamstown,,
Adan,10.183326655,-73.899999833
Adana,37.001666852,35.328887428
Adanlinanlango,,
Adansi,5.832649225,-2.16786919
Adar,31.016446468,-9.179376503
Adara,7.983327878,4.283329845
Adarnaoua,,
Adat,5.416665638,47.51666791
Adatia,4.971196168,8.060429673
Adavolcon,,
Adbara,15.999996496,39.849996234
Adcn,-27.719518927,153.061835556
Adda,6.890095889,7.572996927
